x	y	clickSelects	showSelected1
0.0130534402996148	1	1	log2(tiles)=2.75 log10(pixels)=3.75
0.0699588180965942	1	2	log2(tiles)=2.25 log10(pixels)=3.50
0.0159003242752007	1	3	log2(tiles)=4.75 log10(pixels)=4.50
0.0040628826786917	1	4	log2(tiles)=2.25 log10(pixels)=3.50
0.109274738230295	1	5	log2(tiles)=3.50 log10(pixels)=4.00
0.120344299754493	1	6	log2(tiles)=2.75 log10(pixels)=3.50
0.063314058945835	1	7	log2(tiles)=3.00 log10(pixels)=3.75
-0.029891911959945	1	8	log2(tiles)=1.00 log10(pixels)=2.25
0.0465426634781312	1	9	log2(tiles)=1.50 log10(pixels)=2.50
-0.0607304808708316	1	10	log2(tiles)=4.75 log10(pixels)=4.50
-0.0634957015068611	1	11	log2(tiles)=3.75 log10(pixels)=4.25
-0.0372798455821575	1	12	log2(tiles)=1.00 log10(pixels)=3.25
-0.00419132321251148	1	13	log2(tiles)=4.00 log10(pixels)=4.25
-0.0918904596074479	1	14	log2(tiles)=3.25 log10(pixels)=4.00
-0.038958783046688	1	15	log2(tiles)=3.25 log10(pixels)=4.00
-0.108129454523687	1	16	log2(tiles)=2.75 log10(pixels)=3.75
-0.0178192544035976	1	17	log2(tiles)=3.00 log10(pixels)=4.00
0.0732783356358349	1	18	log2(tiles)=3.75 log10(pixels)=4.00
-0.0198066211309542	1	19	log2(tiles)=1.50 log10(pixels)=3.25
-0.102323686759129	1	20	log2(tiles)=2.75 log10(pixels)=3.75
-0.014704561273911	1	21	log2(tiles)=2.25 log10(pixels)=3.50
0.09377178149873	1	22	log2(tiles)=3.25 log10(pixels)=4.00
0.0486350598147514	1	23	log2(tiles)=2.25 log10(pixels)=3.50
-0.0951499094386059	1	24	log2(tiles)=2.50 log10(pixels)=3.75
0.0336892363473162	1	25	log2(tiles)=3.00 log10(pixels)=3.75
-0.0043648054024501	1	26	log2(tiles)=0.00 log10(pixels)=2.00
-0.0739769843101237	1	27	log2(tiles)=2.00 log10(pixels)=3.50
0.0491404631589649	1	28	log2(tiles)=3.50 log10(pixels)=4.00
-0.0757360803077747	1	29	log2(tiles)=5.00 log10(pixels)=4.75
0.0921767573958667	1	30	log2(tiles)=2.25 log10(pixels)=3.50
-0.0674426986950873	1	31	log2(tiles)=3.75 log10(pixels)=4.25
0.116142653853794	1	32	log2(tiles)=3.75 log10(pixels)=4.00
0.0241578492636796	1	33	log2(tiles)=2.00 log10(pixels)=3.25
-0.0220110237491107	1	34	log2(tiles)=2.00 log10(pixels)=3.50
-0.108863909879261	1	35	log2(tiles)=2.00 log10(pixels)=3.25
-0.027828853307637	1	36	log2(tiles)=2.25 log10(pixels)=3.50
-0.0525962767995125	1	37	log2(tiles)=2.25 log10(pixels)=3.75
0.0627128667653687	1	38	log2(tiles)=3.25 log10(pixels)=3.75
0.001048034820188	1	39	log2(tiles)=3.00 log10(pixels)=3.75
0.035829825252828	1	40	log2(tiles)=1.50 log10(pixels)=3.00
0.041747871723266	1	41	log2(tiles)=3.75 log10(pixels)=4.00
-0.119969752032169	1	42	log2(tiles)=2.00 log10(pixels)=3.50
0.0785310066451013	1	43	log2(tiles)=3.00 log10(pixels)=3.75
-0.0488761027926206	1	44	log2(tiles)=3.75 log10(pixels)=4.25
0.0631080829986201	1	45	log2(tiles)=4.00 log10(pixels)=4.00
-0.0922692719736644	1	46	log2(tiles)=2.50 log10(pixels)=3.50
0.0735677730392186	1	47	log2(tiles)=2.00 log10(pixels)=3.50
-0.0338582672609675	1	48	log2(tiles)=1.50 log10(pixels)=3.00
-0.0730988136086532	1	49	log2(tiles)=3.50 log10(pixels)=4.25
-0.0823894742501325	1	50	log2(tiles)=3.00 log10(pixels)=4.00
-0.0128073572952627	1	51	log2(tiles)=3.00 log10(pixels)=3.75
0.0751663722565499	1	52	log2(tiles)=3.00 log10(pixels)=3.75
0.0897991730361643	1	53	log2(tiles)=3.75 log10(pixels)=4.00
0.0271506139637969	1	54	log2(tiles)=3.25 log10(pixels)=3.25
0.113308149918387	1	55	log2(tiles)=3.50 log10(pixels)=4.00
-0.106951533583222	1	56	log2(tiles)=2.25 log10(pixels)=3.50
-0.0915904215315702	1	57	log2(tiles)=2.25 log10(pixels)=3.50
-0.00649023527157011	1	58	log2(tiles)=0.00 log10(pixels)=2.75
-0.0168027348934308	1	59	log2(tiles)=1.00 log10(pixels)=2.75
-0.0337643759014181	1	60	log2(tiles)=3.00 log10(pixels)=4.00
-0.0891345219961308	1	61	log2(tiles)=1.50 log10(pixels)=2.75
0.0928587624452937	1	62	log2(tiles)=3.00 log10(pixels)=3.75
-0.118163200001657	1	63	log2(tiles)=2.25 log10(pixels)=3.50
-0.0803746391122568	1	64	log2(tiles)=2.00 log10(pixels)=3.50
-0.0676722077383958	1	65	log2(tiles)=2.00 log10(pixels)=3.50
